sigo,"(I) take, keep, go"
sigues,"(you) take, keep, (you) go on"
seguía,"(I/he/she/it/you) was/were following, (I/he/she/it/you) was/were continuing, (I/he/she/it/you) was/were taking"
seguían,"(they/you-plural) used to go on, (they/you-plural) used to follow, (they/you-plural) followed"
siguen,"(they/you-plural) follow, (they/you-plural) continue, still"
sigue,"(you) continue, (you) follow, (you) go"
seguiré,"follow, (I) will follow, (I) will continue"
seguir,"(to) follow, (to) continue, (to) go on"
seguimos,"We, followed, (we) continue"
respuestas,"answers, answer"
respuesta,"answer, response"
contesta,"(he/she/it) answers, (he/she/it) answers back, (he/she/it) replies"
contesto,"(he/she/it) answers, (he/she/it) answers back, (he/she/it) replies"
contestamos,"(we) replied to, (we) reply to, (we) reply"
contestó,(he) answered
contestará,"answer, got, getting"
contestarán,"got, get"
contesté,"(I) answered back, (I) answered, get"
continúo,"continue, (I) continue, take"
continúas,"continue, take"
continúa,"(he/she/it) continues, (you-formal) continue, continue!"
continúan,"(they/you-plural) continue, continue, take"
continuamos,"continue, take"
continuaré,"continue, take"
continuar,"(to) continue, going, continue"
correo,"email, mail"
correos,post
llevar,"take, (to) take, (to) bring"
llevas,"(?) can you carry, (?) do you carry, (you) are carrying"
llevaba,"Wearing, (I/he/she/it/you) was/were wearing, (I/he/she/it/you) was/were taking"
lleva,"(it) takes, (she) carries, (she) is carrying"
llevo,"(I) wear, (I) take, (I) am carrying"
llevamos,"(we) took, (we) are carrying"
llevando,"taking, carrying, wearing"
llevan,"(they) are carrying, (they) wear"
rato,"while, time"
promociones,"promotions, (you) play off, (you) promote"
promoción,"promotion, play-off"
traductora,translator
traductor,"(to) translate, (to) convey"
traductores,translators
actualizando,updating
actualizará,will update
actualizar,nowadays
urgente,"urgent, immediate"
llamándola,calling her
contrato,"(I) contract, (I) enter into a contract, (I) put … out to contract"
contraté,contracts
contratar,"hire, book, take"
contratando,hire
contratarán,book
montón,"load, pile, crowd"
ayudándolas,helping them
poniéndola,putting it on
cocinándolas,cooking them
llamándolo,calling him
visitándolos,visiting them
comprándoles,buying them
máximo,"top, maximum"
máxima,"maximum, high, maxim"
solicitud,"application, application form, concern"
solicitudes,applications
enviándole,sending you
enseñé,"taught, (I) taught"
enseñando,teaching
enseñe,"(I) am teaching, (I) teach, (I) show"
enseñamos,"(we) are teaching, (we) taught, (we) teach"
enseñaré,"present, show"
enseñan,"(they) are teaching, (they) teach, taught"
enseñaste,"(you) taught, (?) did you teach"
enseña,"(she) is teaching, (he) teaches"
enseñar,"teaching, (to) teach, taught"
enseñó,"(he) taught, (she) taught, show"
enseñas,"(?) are you teaching, (?) do you teach, (you) teach"
enseñaron,"(they) taught, taught"
enseño,"(I) am teaching, (I) teach, (I) show"
enseñándoles,teaching them