padre,"father, dad"
bonita,"nice, beautiful, pretty"
bonito,"beautiful, pretty, nice"
inteligente,"smart, intelligent"
madres,mothers
madre,"mother, mom"
italiana,Italian
italiano,Italian
su,"his, her, their"
hijo,"son, child"
hijos,"children, sons, kids"
pequeño,"small, little, younger"
pequeña,"little, small"
hijas,"daughters, children, girls"
hija,"daughter, child"
esposo,husband
esposa,wife
esposas,wives
simpático,nice
simpática,nice
alto,"tall, high, loud"
alta,"tall, high"
bajo,"under, low, short"
baja,"low, short, (she) gets off"
mascotas,pets
mascota,"pet, pets"
abuelo,"grandfather, grandpa"
abuela,"grandmother, grandma"
española,Spanish
inglesa,English
año,"year, year ago"
años,"years, years old, years ago"
nueve,"9, nine, ninth"
diez,"ten, 10, tenth"