horrible,"horror, horrible"
alejado,far away
usual,"normal, usual"
nacer,"born, (to) be born, (to) hatch"
cerebro,"brain, brains"
molesto,"(I) am a nuisance, (I) bother, (I) disturb"
vendaje,"bandage, dressing"
fácilmente,easily
auxilio,"(I) help, (I) attend, help"
rápidamente,"quickly, rapidly, fast"
gravemente,"gravely, seriously, badly"
caer+se,"fall, (to) fall down"
ver+se,"(to) see, (to) look, (to) watch"
muertos,"dead, dead beat, death"
comer mucho,eat a lot
trabajar mucho,work a lot
en forma,fit
me veo,"(I)  imagine, (I)  see, (I)  watch"
reír+se,"(to) laugh, (to) laugh at, laugh"
olvidar+se,"(he/she/it/you) will leave … behind, (he/she/it/you) will forget, forget"
cuidado,"careful, care, worry"
medicina,medicine
me olvido,I forget
sangre,blood
inmediatamente,immediately
pelo,hair
cambio,"change, (I) change, return"