al llegar,arriving
al salir,(I) left
sonar,"(to) thump, (to) fail, goes"
me río,I laugh
me caigo,"(I)  fall, (I)  let drop / fall, (I)  hang"
me puede cambiar,can you change me
pedir,"ask, (to) ask for, (to) make"
al entrar,to enter
al regresar,upon returning
pidió,"(he/she/it/you) asked for, (he/she/it/you) asked, (he/she/it/you) begged"
te ríes,you laugh
te caes,you fall
cómo puedo ir,How can I go
bajar+se,download
al ver,to see
al escuchar,when listening
nos reímos,"(we)  laughed, (we)  laugh"
pidieron,"(they/you-plural) had dibs on, (they/you-plural) ordered, (they/you-plural) bags (past)"
se baja,its going down
nos caemos,we fall
funcionar,"(to) work, go, going"
al cruzar,to cross
al conducir,when driving
se ríe,laughs
se ríen,(they/you-plural)  laugh
se cae,"(he/she/it)  lets drop / fall, (he/she/it)  hangs, (he/she/it)  falls"
se caen,"(they/you-plural)  let drop / fall, (they/you-plural)  hang, (they/you-plural)  fall"