βιβλιοθήκη,"library, bookcase"
γνώση,knowledge
δάσκαλος,"teacher, a teacher"
διάλεξη,lecture
διδακτορικό,"doctorate, Doctorate, PhD"
εκπαίδευση,"education, training"
εξάμηνο,semester
κεφάλαιο,"chapter, capital"
λόγος,"speech, purpose, reason"
μάθημα,"course, lesson, subject"
μαθαίνω,learn
μεταπτυχιακό,(a) Master
πανεπιστήμιο,"university, college"
παράδειγμα,"example, instance"
παρουσίαση,presentation
ποίημα,poem
πρόγραμμα,"program, programme, schedule"
σπουδάζω,"study, I study, I'm studying"
σπουδές,studies
σχολείο,"school, to school"
τεστ,test
τμήμα,"department, part, section"